timestamp,open,high,low,close,volume
2025-01-01T00:00:00,2800.00,2828.00,2768.67,2796.64,5000.00
2025-01-02T00:00:00,2796.64,2824.61,2766.18,2794.12,5200.00
2025-01-03T00:00:00,2794.12,2822.06,2764.52,2792.45,5400.00
2025-01-04T00:00:00,2792.45,2820.37,2763.69,2791.61,5600.00
2025-01-05T00:00:00,2791.61,2819.52,2763.69,2791.61,5800.00
2025-01-06T00:00:00,2791.61,2820.37,2763.69,2792.45,6000.00
2025-01-07T00:00:00,2792.45,2822.06,2764.52,2794.12,6200.00
2025-01-08T00:00:00,2794.12,2824.60,2766.18,2796.64,6400.00
2025-01-09T00:00:00,2796.64,2827.99,2768.67,2799.99,6600.00
2025-01-10T00:00:00,2799.99,2832.23,2771.99,2804.19,6800.00
2025-01-11T00:00:00,2804.19,2837.33,2776.15,2809.24,7000.00
2025-01-12T00:00:00,2809.24,2843.29,2781.15,2815.14,7200.00
2025-01-13T00:00:00,2815.14,2843.29,2783.64,2811.76,7400.00
2025-01-14T00:00:00,2811.76,2839.88,2781.14,2809.23,7600.00
2025-01-15T00:00:00,2809.23,2837.32,2779.47,2807.55,7800.00
2025-01-16T00:00:00,2807.55,2891.48,2779.47,2862.85,18000.00
2025-01-17T00:00:00,2862.85,2891.48,2834.23,2862.85,8200.00
2025-01-18T00:00:00,2862.85,2892.35,2834.23,2863.71,8400.00
2025-01-19T00:00:00,2863.71,2894.09,2835.08,2865.43,8600.00
2025-01-20T00:00:00,2865.43,2896.69,2836.78,2868.01,8800.00
2025-01-21T00:00:00,2868.01,2900.17,2839.33,2871.45,9000.00
2025-01-22T00:00:00,2871.45,2904.52,2842.74,2875.76,9200.00
2025-01-23T00:00:00,2875.76,2909.74,2847.00,2880.93,9400.00
2025-01-24T00:00:00,2880.93,2915.85,2852.13,2886.98,9600.00
2025-01-25T00:00:00,2886.98,2915.85,2854.69,2883.52,9800.00
2025-01-26T00:00:00,2883.52,2912.36,2852.12,2880.93,10000.00
2025-01-27T00:00:00,2880.93,2909.73,2850.40,2879.20,10200.00
2025-01-28T00:00:00,2879.20,2907.99,2849.55,2878.33,10400.00
2025-01-29T00:00:00,2878.33,2907.12,2849.55,2878.33,10600.00
2025-01-30T00:00:00,2878.33,2907.99,2849.55,2879.20,10800.00
2025-01-31T00:00:00,2879.20,2909.73,2850.40,2880.92,11000.00
2025-02-01T00:00:00,2880.92,2912.35,2852.11,2883.52,11200.00
2025-02-02T00:00:00,2883.52,2974.09,2854.68,2944.65,21400.00
2025-02-03T00:00:00,2944.65,2978.55,2915.20,2949.06,11600.00
2025-02-04T00:00:00,2949.06,2983.92,2919.57,2954.37,11800.00
2025-02-05T00:00:00,2954.37,2990.18,2924.83,2960.58,12000.00
2025-02-06T00:00:00,2960.58,2990.18,2927.45,2957.02,12200.00
2025-02-07T00:00:00,2957.02,2986.59,2924.82,2954.36,12400.00
2025-02-08T00:00:00,2954.36,2983.91,2923.06,2952.59,12600.00
2025-02-09T00:00:00,2952.59,2982.12,2922.19,2951.70,12800.00
2025-02-10T00:00:00,2951.70,2981.22,2922.19,2951.70,13000.00
2025-02-11T00:00:00,2951.70,2982.12,2922.19,2952.59,13200.00
2025-02-12T00:00:00,2952.59,2983.91,2923.06,2954.36,13400.00
2025-02-13T00:00:00,2954.36,2986.59,2924.82,2957.02,13600.00
2025-02-14T00:00:00,2957.02,2990.17,2927.45,2960.57,13800.00
2025-02-15T00:00:00,2960.57,2994.66,2930.96,2965.01,14000.00
2025-02-16T00:00:00,2965.01,3000.05,2935.36,2970.35,14200.00
2025-02-17T00:00:00,2970.35,3006.35,2940.64,2976.58,14400.00
2025-02-18T00:00:00,2976.58,3062.87,2946.82,3032.54,24600.00
2025-02-19T00:00:00,3032.54,3062.87,2999.52,3029.81,14800.00
2025-02-20T00:00:00,3029.81,3060.11,2997.72,3028.00,15000.00
2025-02-21T00:00:00,3028.00,3058.28,2996.82,3027.09,15200.00
2025-02-22T00:00:00,3027.09,3057.36,2996.82,3027.09,15400.00
2025-02-23T00:00:00,3027.09,3058.28,2996.82,3028.00,15600.00
2025-02-24T00:00:00,3028.00,3060.11,2997.72,3029.81,15800.00
2025-02-25T00:00:00,3029.81,3062.87,2999.52,3032.54,16000.00
2025-02-26T00:00:00,3032.54,3066.54,3002.21,3036.18,16200.00
2025-02-27T00:00:00,3036.18,3071.14,3005.82,3040.73,16400.00
2025-02-28T00:00:00,3040.73,3076.67,3010.33,3046.21,16600.00
2025-03-01T00:00:00,3046.21,3083.13,3015.74,3052.60,16800.00
